,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,0,0,D.Melton o12.5 Pts,SBK5065,-120,0.6,1.1,0,Philadelphia 76ers,D.Melton,Chicago Bulls,1.0,0.5000000000000001
1,1,1,D.Melton o12.5 Pts,PropBetGuy,-115,1.15,2.1499999999999995,0,Philadelphia 76ers,D.Melton,Chicago Bulls,1.0,0.9999999999999996
2,2,2,J.Harden o24.5 Pts,PropBomb,-114,1.14,2.14,0,Philadelphia 76ers,J.Harden,Chicago Bulls,1.0,1.0000000000000002
3,3,3,T.Harris o26.5 Pts+Rebs+Ast,SBK5065,-120,0.5,0.9166666666666669,0,Philadelphia 76ers,T.Harris,Chicago Bulls,1.0,0.41666666666666685
4,4,4,N.Vucevic o27.5 Pts+Rebs,SBK5065,-125,0.5,0.9,0,Chicago Bulls,N.Vucevic,Philadelphia 76ers,0.0,0.4
5,5,5,N.Vucevic o16.5 Pts,SBK5065,-118,0.5,0.923728813559322,0,Chicago Bulls,N.Vucevic,Philadelphia 76ers,0.0,0.423728813559322
6,6,6,T.Harris o16.5 Pts,SBK5065,-120,0.5,0.9166666666666669,0,Philadelphia 76ers,T.Harris,Chicago Bulls,1.0,0.41666666666666685
7,7,7,V.Oladipo o16.5 Pts+Ast,PropBomb,-115,1.0,1.869565217391304,0,Miami Heat,V.Oladipo,Phoenix Suns,0.0,0.869565217391304
8,8,8,L.Shamet o14.5 Pts,SBK5065,125,0.25,0.5625,0,Phoenix Suns,L.Shamet,Miami Heat,1.0,0.3125
9,9,9,L.Shamet o19.5 Pts,SBK5065,470,0.1,0.5700000000000001,0,Phoenix Suns,L.Shamet,Miami Heat,1.0,0.4700000000000001
10,10,10,L.Shamet o13.5 Pts,SBK5065,-105,0.53,1.0347619047619048,0,Phoenix Suns,L.Shamet,Miami Heat,1.0,0.5047619047619047
11,11,11,B.Adebayo o21.5 Pts,PropBetGuy,-115,1.15,2.1499999999999995,0,Miami Heat,B.Adebayo,Phoenix Suns,0.0,0.9999999999999996
12,12,12,J.Hart o18.5 Pts+Rebs,JoeDellera,-110,0.5,0.9545454545454546,0,Portland Trail Blazers,J.Hart,Indiana Pacers,0.0,0.4545454545454546
13,13,13,C.McCollum u30.5 Pts+Rebs,JoeDellera,-109,0.4,0.7669724770642202,0,New Orleans Pelicans,C.McCollum,Brooklyn Nets,1.0,0.3669724770642202
14,14,17,J.Duren o20.5 Pts+Rebs,PropBetGuy,-125,1.25,2.25,0,Detroit Pistons,J.Duren,San Antonio Spurs,0.0,1.0
15,15,18,R.Gobert o12.5 Rebs,JoeDellera,125,0.31,0.6975,0,Minnesota Timberwolves,R.Gobert,Los Angeles Clippers,1.0,0.3875
16,16,19,R.Gobert o14.5 Rebs,JoeDellera,250,0.38,1.33,0,Minnesota Timberwolves,R.Gobert,Los Angeles Clippers,1.0,0.9500000000000001
17,17,20,R.Gobert o11.5 Rebs,JoeDellera,-115,0.65,1.2152173913043478,0,Minnesota Timberwolves,R.Gobert,Los Angeles Clippers,1.0,0.5652173913043478
18,18,21,J.Giddey u16.5 Pts,SBK5065,-120,0.6,1.1,0,Oklahoma City Thunder,J.Giddey,Washington Wizards,1.0,0.5000000000000001
19,19,22,R.Hachimura o15.5 Pts,JoeDellera,-115,1.0,1.869565217391304,0,Washington Wizards,R.Hachimura,Oklahoma City Thunder,0.0,0.869565217391304
20,20,23,K.Porzingis o23.5 Pts,PropBetGuy,-105,1.05,2.05,0,Washington Wizards,K.Porzingis,Oklahoma City Thunder,0.0,0.9999999999999998
21,21,24,P.Connaughton u9.5 Pts,SBK5065,-110,0.5,0.9545454545454546,0,Milwaukee Bucks,P.Connaughton,Charlotte Hornets,1.0,0.4545454545454546
22,22,25,L.Ball o35.5 Pts+Rebs+Ast,JoeDellera,-123,0.41,0.7433333333333333,0,Charlotte Hornets,L.Ball,Milwaukee Bucks,0.0,0.3333333333333333
23,23,26,J.Allen o15.5 Pts,SBK5065,-105,0.53,1.0347619047619048,0,Cleveland Cavaliers,J.Allen,Denver Nuggets,0.0,0.5047619047619047
