,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,0,K.Caldwell-Pope o9.5 Pts,JoeDellera,-120,0.5,0.9166666666666669,0,Denver Nuggets,K.Caldwell-Pope,New Orleans Pelicans,1,0.41666666666666685
1,1,C.Braun o9.5 Pts+Rebs+Ast,JoeDellera,-110,0.45,0.8590909090909091,0,Denver Nuggets,C.Braun,New Orleans Pelicans,1,0.4090909090909091
2,2,C.Braun o0.5 3pt M,JoeDellera,-105,0.65,1.269047619047619,0,Denver Nuggets,C.Braun,New Orleans Pelicans,1,0.619047619047619
3,3,K.Caldwell-Pope o9.5 Pts,PropBomb,-110,1.1,2.1,0,Denver Nuggets,K.Caldwell-Pope,New Orleans Pelicans,1,1.0
4,4,K.Caldwell-Pope o9.5 Pts,SBK5065,-110,1.1,2.1,0,Denver Nuggets,K.Caldwell-Pope,New Orleans Pelicans,1,1.0
5,5,A.Gordon o15.5 Pts,JoeDellera,-110,0.75,1.431818181818182,0,Denver Nuggets,A.Gordon,New Orleans Pelicans,1,0.6818181818181821
6,6,A.Gordon o15.5 Pts,SBK5065,-110,1.1,2.1,0,Denver Nuggets,A.Gordon,New Orleans Pelicans,1,1.0
7,7,T.Murphy o2.5 3pt M,charliedisturco,-125,0.5,0.9,0,New Orleans Pelicans,T.Murphy,Denver Nuggets,0,0.4
8,8,A.Gordon o24.5 Pts+Rebs+Ast,JoeMetz,-110,1.1,2.1,0,Denver Nuggets,A.Gordon,New Orleans Pelicans,1,1.0
9,9,T.Murphy o2.5 3pt M,GDAWG5000,-130,0.5,0.8846153846153846,0,New Orleans Pelicans,T.Murphy,Denver Nuggets,0,0.3846153846153846
10,10,B.Lopez u23.5 Pts+Rebs+Ast,PropBetGuy,-115,1.0,1.869565217391304,0,Milwaukee Bucks,B.Lopez,Boston Celtics,1,0.869565217391304
11,11,M.Smart o5.5 Ast,JoeDellera,130,0.26,0.598,0,Boston Celtics,M.Smart,Milwaukee Bucks,0,0.33799999999999997
12,12,M.Smart o4.5 Ast,JoeDellera,-155,0.48,0.7896774193548386,0,Boston Celtics,M.Smart,Milwaukee Bucks,0,0.3096774193548386
