,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,I.Okoro o1.5 3pt M,charliedisturco,+320,0.25,I.Okoro,Cleveland Cavaliers,Orlando Magic,0,1.05,0.8,0.323943661971831,0,0.4,0,0.3,0
1,I.Okoro o0.5 3pt M,charliedisturco,-125,0.63,I.Okoro,Cleveland Cavaliers,Orlando Magic,0,1.1340000000000001,0.5040000000000001,0.7183098591549296,1,0.6,1,0.6,1
7,D.Garland u6.5 Ast,SBK5065,-142,1.0,D.Garland,Cleveland Cavaliers,Orlando Magic,0,1.704225352112676,0.704225352112676,0.4576271186440678,0,0.4,0,0.3,0
8,J.Allen o12.5 Rebs,GDAWG5000,+110,0.5,J.Allen,Cleveland Cavaliers,Orlando Magic,0,1.05,0.55,0.27848101265822783,0,0.6,1,0.3,0
9,J.Allen o12.5 Rebs,JoeDellera,+110,1.25,J.Allen,Cleveland Cavaliers,Orlando Magic,0,2.625,1.375,0.27848101265822783,0,0.6,1,0.3,0
10,K.Oubre o9.5 Pts,SBK5065,-115,0.58,K.Oubre,Philadelphia 76ers,New York Knicks,1,1.0843478260869563,0.5043478260869564,0.7464788732394366,1,0.6,1,0.8,1
11,J.Hart o25.5 Pts+Rebs,the_degenerates,-117,1.17,J.Hart,New York Knicks,Philadelphia 76ers,0,2.17,1.0,0.1686746987951807,0,0.6,1,0.5,0
12,J.Brunson o11.5 Rebs+Ast,GDAWG5000,-102,0.51,J.Brunson,New York Knicks,Philadelphia 76ers,0,1.01,0.5,0.379746835443038,0,0.8,1,0.8,1
14,I.Hartenstein u8.5 Rebs,SBK5065,-142,0.71,I.Hartenstein,New York Knicks,Philadelphia 76ers,0,1.21,0.5,0.6233766233766234,1,0.6,1,0.6,1
15,A.Gordon o20.5 Pts+Rebs,the_degenerates,+100,1.0,A.Gordon,Denver Nuggets,Los Angeles Lakers,0,2.0,1.0,0.56,1,0.4,0,0.6,1
16,A.Davis u0.5 3pt M,GDAWG5000,-125,0.63,A.Davis,Los Angeles Lakers,Denver Nuggets,1,1.1340000000000001,0.5040000000000001,0.725,1,0.8,1,0.7,1
17,M.Porter o6.5 Rebs,GDAWG5000,-140,0.7,M.Porter,Denver Nuggets,Los Angeles Lakers,0,1.2,0.5,0.5662650602409639,1,0.6,1,0.5,0
18,M.Porter o6.5 Rebs,TheBMatt,-142,1.4,M.Porter,Denver Nuggets,Los Angeles Lakers,0,2.3859154929577464,0.9859154929577465,0.5662650602409639,1,0.6,1,0.5,0
