,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
6,6,T.Rozier u31.5 Pts+Rebs+Ast,Charlotte Hornets,PropBetGuy,-122,1.22,2.22,9.4702,T.Rozier,New York Knicks,0,1.0000000000000002,0.5454545454545454,1,1.0,1,0.8,1
7,7,P.Washington o14.5 Pts,Charlotte Hornets,charliedisturco,-100,0.5,1.0,3.155,P.Washington,New York Knicks,0,0.5,0.47540983606557374,0,0.8,1,0.6,1
9,9,M.Robinson u11.5 Rebs,New York Knicks,MrTuttle05,-100,1.0,2.0,4.0,M.Robinson,Charlotte Hornets,1,1.0,0.6818181818181818,1,0.4,0,0.5,0
10,10,M.Williams o10.5 Pts,Charlotte Hornets,MrTuttle05,-120,1.2,2.2,0.0,M.Williams,New York Knicks,0,1.0000000000000002,0.3142857142857143,0,0.8,1,0.7,1
16,16,S.Curry o31.5 Pts+Ast,Golden State Warriors,PropBomb,-117,1.17,2.17,6.8434,S.Curry,Oklahoma City Thunder,0,1.0,0.717948717948718,1,0.8,1,0.9,1
17,17,T.Eason o10.5 Pts,Houston Rockets,PropBomb,-118,1.18,2.18,6.8434,T.Eason,Brooklyn Nets,1,0.9999999999999998,0.3125,0,0.8,1,0.4,0
19,19,C.Johnson o2.5 3pt M,Brooklyn Nets,SBK5065,-130,0.65,1.15,6.277700000000003,C.Johnson,Houston Rockets,0,0.4999999999999999,0.3333333333333333,0,0.4,0,0.3333333333333333,0
21,21,T.Eason o10.5 Pts,Houston Rockets,JoeDellera,-118,1.0,1.847457627118644,1.5231000000000012,T.Eason,Brooklyn Nets,1,0.847457627118644,0.3125,0,0.8,1,0.4,0
24,24,D.Bane u24.5 Pts,Memphis Grizzlies,SBK5065,-110,0.55,1.05,0.0,D.Bane,Los Angeles Lakers,0,0.5,0.6585365853658537,1,0.6,1,0.7,1
26,26,T.Jones o1.5 Stl+Blk,Memphis Grizzlies,SBK5065,-105,1.05,2.05,0.0,T.Jones,Los Angeles Lakers,0,0.9999999999999998,0.9841269841269841,1,1.0,1,0.9,1
30,30,T.Jones o14.5 Pts,Memphis Grizzlies,JoeDellera,-130,0.4,0.7076923076923077,0.0,T.Jones,Los Angeles Lakers,0,0.3076923076923077,0.2222222222222222,0,0.4,0,0.2,0
32,32,T.Jones o1.5 Stl+Blk,Memphis Grizzlies,JoeDellera,-104,0.5,0.9807692307692308,0.0,T.Jones,Los Angeles Lakers,0,0.4807692307692308,0.9841269841269841,1,1.0,1,0.9,1
