,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,N.Claxton o2.5 Blk,Brooklyn Nets,JoeDellera,-115,0.75,1.402173913043478,0,N.Claxton,Los Angeles Lakers,1,0.652173913043478,0.5652173913043478,1,0.6,1,0.8,1
1,K.Irving o4.5 Rebs,Brooklyn Nets,JoeDellera,-134,0.5,0.8731343283582089,0,K.Irving,Los Angeles Lakers,1,0.3731343283582089,0.631578947368421,1,0.8,1,0.7,1
3,N.Claxton o2.5 Blk,Brooklyn Nets,SBK5065,-115,0.58,1.0843478260869563,15.7136,N.Claxton,Los Angeles Lakers,1,0.5043478260869564,0.5652173913043478,1,0.6,1,0.8,1
4,P.Beverley u1.5 3pt M,Los Angeles Lakers,SBK5065,-110,1.1,2.1,0,P.Beverley,Brooklyn Nets,0,1.0,0.6666666666666666,1,0.4,0,0.4,0
6,P.Beverley u7.5 Rebs+Ast,Los Angeles Lakers,SBK5065,-125,1.25,2.25,0,P.Beverley,Brooklyn Nets,0,1.0,0.7380952380952381,1,0.8,1,0.9,1
8,J.Williams o1.5 Stl+Blk,Oklahoma City Thunder,JoeDellera,-120,0.4,0.7333333333333334,18.0977,J.Williams,Golden State Warriors,1,0.33333333333333337,0.8870967741935484,1,1.0,1,1.0,1
9,J.Williams o1.5 Stl+Blk,Oklahoma City Thunder,SBK5065,-120,0.6,1.1,15.7136,J.Williams,Golden State Warriors,1,0.5000000000000001,0.8870967741935484,1,1.0,1,1.0,1
10,D.Green o15.5 Rebs+Ast,Golden State Warriors,JoeMetz,-105,1.05,2.05,-3.0200000000000005,D.Green,Oklahoma City Thunder,0,0.9999999999999998,0.3111111111111111,0,0.8,1,0.7,1
11,R.Gobert o11.5 Rebs,Minnesota Timberwolves,JoeDellera,-110,1.0,1.9090909090909092,18.0977,R.Gobert,Sacramento Kings,1,0.9090909090909092,0.5454545454545454,1,0.8,1,0.6,1
12,D.Russell o26.5 Pts+Ast,Minnesota Timberwolves,JoeDellera,-100,0.4,0.8,0,D.Russell,Sacramento Kings,1,0.4,0.44,0,0.6,1,0.6,1
13,R.Gobert o11.5 Rebs,Minnesota Timberwolves,SBK5065,-118,0.59,1.0899999999999999,15.7136,R.Gobert,Sacramento Kings,1,0.4999999999999999,0.5454545454545454,1,0.8,1,0.6,1
14,R.Gobert o11.5 Rebs,Minnesota Timberwolves,PropBetGuy,-115,1.15,2.1499999999999995,0.5900000000000016,R.Gobert,Sacramento Kings,1,0.9999999999999996,0.5454545454545454,1,0.8,1,0.6,1
15,D.Fox u26.5 Pts,Sacramento Kings,PropBomb,-125,1.25,2.25,-6.132299999999999,D.Fox,Minnesota Timberwolves,0,1.0,0.6222222222222222,1,0.6,1,0.7,1
17,R.Gobert o11.5 Rebs,Minnesota Timberwolves,GreenDotDaily,-125,1.0,1.8,-10.4498,R.Gobert,Sacramento Kings,1,0.8,0.5454545454545454,1,0.8,1,0.6,1
18,S.Barnes o16.5 Pts,Toronto Raptors,JoeDellera,-105,0.5,0.9761904761904762,18.0977,S.Barnes,Phoenix Suns,0,0.47619047619047616,0.4897959183673469,0,0.6,1,0.7,1
19,F.VanVleet o19.5 Pts,Toronto Raptors,JoeDellera,-121,0.5,0.9132231404958677,0,F.VanVleet,Phoenix Suns,0,0.4132231404958677,0.46511627906976744,0,0.6,1,0.6,1
20,P.Achiuwa Double-Double (Yes),Toronto Raptors,JoeDellera,190,0.25,0.725,0,P.Achiuwa,Phoenix Suns,0,0.475,0.21428571428571427,0,0.8,1,0.4,0
21,C.Capela Double-Double (Yes),Atlanta Hawks,JoeDellera,-100,0.5,1.0,18.0977,C.Capela,Portland Trail Blazers,0,0.5,0.5714285714285714,1,0.6,1,0.4,0
22,C.Capela Double-Double (Yes),Atlanta Hawks,GreenDotDaily,110,1.0,2.1,-10.4498,C.Capela,Portland Trail Blazers,0,1.1,0.5714285714285714,1,0.6,1,0.4,0
