,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
0,M.Porter o5.5 Rebs,FirefighterBets,Denver Nuggets,New York Knicks,0.0,0.6521739130434783,1,0.8,1,0.7,1,-105,1.0,1.9523809523809523,0.9523809523809524,M.Porter
3,M.Porter o5.5 Rebs,CamIsMoney18,Denver Nuggets,New York Knicks,0.0,0.6521739130434783,1,0.8,1,0.7,1,-115,1.0,1.869565217391304,0.8695652173913042,M.Porter
7,K.Towns o11.5 Rebs,JoeDellera,New York Knicks,Denver Nuggets,1.0,0.6666666666666666,1,0.6,1,0.7,1,-128,1.0,1.78125,0.78125,K.Towns
13,D.Sabonis u17.5 Rebs,kylemurray03,Sacramento Kings,Philadelphia 76ers,0.0,0.7209302325581395,1,0.2,0,0.4,0,-120,1.2,2.2,1.0000000000000002,D.Sabonis
53,I.Hartenstein o10.5 Rebs,JoeDellera,Oklahoma City Thunder,Golden State Warriors,0.0,0.68,1,0.8,1,0.5,0,-125,1.0,1.8,0.8,I.Hartenstein
55,K.Irving o4.5 Rebs,Rotowire Prizepicks,Dallas Mavericks,New Orleans Pelicans,0.0,0.4594594594594595,0,0.2,0,0.3,0,100,1.5,3.0,1.5,K.Irving
57,J.Sochan o5.5 Rebs,Rotowire Prizepicks,San Antonio Spurs,Los Angeles Clippers,1.0,0.625,1,0.4,0,0.6,1,100,1.5,3.0,1.5,J.Sochan
59,A.Nembhard u3.5 Rebs,Theotherbabs,Indiana Pacers,Detroit Pistons,1.0,0.5333333333333333,1,0.2,0,0.3,0,-110,1.0,1.9090909090909087,0.9090909090909092,A.Nembhard
67,K.Towns o12.5 Rebs,kylemurray03,New York Knicks,Denver Nuggets,1.0,0.5952380952380952,1,0.4,0,0.6,1,104,1.0,2.04,1.04,K.Towns
69,Z.Williamson o6.5 Rebs,kylemurray03,New Orleans Pelicans,Dallas Mavericks,1.0,0.75,1,1.0,1,0.8,1,-125,1.25,2.25,1.0,Z.Williamson
105,R.Westbrook u4.5 Rebs,TopShelfAction,Denver Nuggets,New York Knicks,0.0,0.4782608695652174,0,0.2,0,0.3,0,145,0.5,1.225,0.7250000000000001,R.Westbrook
109,L.Ball u3.5 Rebs,TopShelfAction_duplicate,Chicago Bulls,Boston Celtics,0.0,0.6538461538461539,1,0.4,0,0.5,0,-118,1.7,3.140677966101695,1.4406779661016949,L.Ball
113,I.Hartenstein o10.5 Rebs,KyleJustBets,Oklahoma City Thunder,Golden State Warriors,0.0,0.68,1,0.8,1,0.5,0,-140,1.0,1.7142857142857144,0.7142857142857144,I.Hartenstein
118,H.Barnes u3.5 Rebs,TopShelfAction,San Antonio Spurs,Los Angeles Clippers,1.0,0.4883720930232558,0,0.0,0,0.2,0,120,0.9,1.98,1.08,H.Barnes
125,J.Randle o7.5 Rebs,TopShelfAction,Minnesota Timberwolves,Phoenix Suns,0.0,0.4130434782608695,0,0.6,1,0.6,1,-105,1.2,2.3428571428571425,1.1428571428571426,J.Randle
129,N.Richards o9.5 Rebs,TopShelfAction,Phoenix Suns,Minnesota Timberwolves,1.0,0.6,1,0.6,1,0.6,1,135,1.6,3.76,2.16,N.Richards
