Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
J.Poole o23.5 Pts+Ast,Rotowire Sleeper,Washington Wizards,Milwaukee Bucks,0.0,0.6666666666666666,1,0.6,1,0.6,1,100,1.5,3.0,1.5,J.Poole
J.Collins o19.5 Pts+Ast,Rotowire Prizepicks,Utah Jazz,Dallas Mavericks,1.0,0.4705882352941176,0,0.8,1,0.6,1,100,1.5,3.0,1.5,J.Collins
J.McCain u8.5 Rebs+Ast,allanlemdfs,Philadelphia 76ers,Detroit Pistons,0.0,0.9411764705882352,1,1.0,1,0.9,1,-130,1.3,2.3,0.9999999999999998,J.McCain
T.Maxey o24.5 Pts,Markus_Markets,Philadelphia 76ers,Detroit Pistons,0.0,0.5454545454545454,1,0.4,0,0.5,0,-115,1.0,1.869565217391304,0.8695652173913042,T.Maxey
C.Cunningham o36.5 Pts+Rebs+Ast,therocketplays,Detroit Pistons,Philadelphia 76ers,1.0,0.7777777777777778,1,0.8,1,0.9,1,-120,1.2,2.2,1.0000000000000002,C.Cunningham
D.Daniels o16.5 Pts+Rebs,Rotowire Sleeper,Atlanta Hawks,Charlotte Hornets,0.0,0.6666666666666666,1,0.6,1,0.8,1,100,1.5,3.0,1.5,D.Daniels
J.Johnson o28.5 Pts+Rebs,Rotowire Prizepicks,Atlanta Hawks,Charlotte Hornets,0.0,0.7368421052631579,1,1.0,1,0.9,1,100,1.5,3.0,1.5,J.Johnson
D.Lillard o31.5 Pts+Ast,Rotowire Prizepicks,Milwaukee Bucks,Washington Wizards,1.0,0.6,1,0.6,1,0.6,1,100,1.5,3.0,1.5,D.Lillard
Q.Grimes o13.5 Pts+Rebs,Rotowire Prizepicks,Dallas Mavericks,Utah Jazz,0.0,0.2352941176470588,0,0.6,1,0.4,0,100,1.5,3.0,1.5,Q.Grimes
J.Johnson o22.5 Pts+Ast,Rotowire Prizepicks,Atlanta Hawks,Charlotte Hornets,0.0,0.7368421052631579,1,0.8,1,0.8,1,100,1.5,3.0,1.5,J.Johnson
D.Lillard o28.5 Pts+Rebs,Rotowire Prizepicks,Milwaukee Bucks,Washington Wizards,1.0,0.6,1,0.6,1,0.6,1,100,1.5,3.0,1.5,D.Lillard
T.Harris o21.5 Pts+Rebs+Ast,Rotowire Sleeper,Detroit Pistons,Philadelphia 76ers,1.0,0.65,1,0.4,0,0.6,1,100,1.5,3.0,1.5,T.Harris
D.Lillard o28.5 Pts+Rebs,Rotowire Sleeper,Milwaukee Bucks,Washington Wizards,1.0,0.6,1,0.6,1,0.6,1,100,1.5,3.0,1.5,D.Lillard
P.George o9.5 Rebs+Ast,Rotowire Prizepicks,Philadelphia 76ers,Detroit Pistons,0.0,0.5,0,0.6,1,0.5,0,100,1.5,3.0,1.5,P.George
D.Gafford o17.5 Pts+Rebs,Rotowire Sleeper,Dallas Mavericks,Utah Jazz,0.0,0.6111111111111112,1,0.8,1,0.8,1,100,1.5,3.0,1.5,D.Gafford
B.Lopez o11.5 Pts,Rotowire Sleeper,Milwaukee Bucks,Washington Wizards,1.0,0.5555555555555556,1,0.8,1,0.6,1,100,1.5,3.0,1.5,B.Lopez
G.Antetokounmpo o43.5 Pts+Rebs,the_degenerates,Milwaukee Bucks,Washington Wizards,1.0,0.5,0,0.4,0,0.5,0,-122,1.22,2.22,1.0000000000000002,G.Antetokounmpo
K.Durant o23.5 Pts,the_degenerates,Phoenix Suns,Golden State Warriors,1.0,0.7272727272727273,1,0.8,1,0.7,1,-120,1.2,2.2,1.0000000000000002,K.Durant
A.Sarr o1.5 Ast,JoeDellera,Washington Wizards,Milwaukee Bucks,0.0,0.6470588235294118,1,0.6,1,0.7,1,-140,1.0,1.7142857142857144,0.7142857142857144,A.Sarr
S.Dinwiddie u11.5 Pts,itsbucketsnba,Dallas Mavericks,Utah Jazz,0.0,0.8235294117647058,1,0.6,1,0.8,1,-125,1.0,1.8,0.8,S.Dinwiddie
D.Green o13.5 Pts+Ast,Rotowire Prizepicks,Golden State Warriors,Phoenix Suns,0.0,0.5555555555555556,1,0.6,1,0.7,1,100,1.5,3.0,1.5,D.Green
D.Green o7.5 Pts,Rotowire Sleeper,Golden State Warriors,Phoenix Suns,0.0,0.6666666666666666,1,0.6,1,0.7,1,100,1.5,3.0,1.5,D.Green
