Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
J.Johnson o20.5 Pts+Ast,kylemurray03,-120,2.4,J.Johnson,Atlanta Hawks,Dallas Mavericks,0.0,4.4,2.0000000000000004,0.4339622641509434,0,0.8,1,0.6,1,N
C.Capela o22.5 Pts+Rebs,GDAWG5000,-104,0.52,C.Capela,Atlanta Hawks,Dallas Mavericks,0.0,1.02,0.5,0.5,0,0.8,1,0.7,1,N
C.Capela o22.5 Pts+Rebs,JoeDellera,-104,1.0,C.Capela,Atlanta Hawks,Dallas Mavericks,0.0,1.9615384615384617,0.9615384615384616,0.5,0,0.8,1,0.7,1,N
C.Capela o22.5 Pts+Rebs,TheBMatt,-105,0.75,C.Capela,Atlanta Hawks,Dallas Mavericks,0.0,1.4642857142857142,0.7142857142857142,0.5,0,0.8,1,0.7,1,N
C.Capela o22.5 Pts+Rebs,PropBetGuy,-104,1.04,C.Capela,Atlanta Hawks,Dallas Mavericks,0.0,2.04,1.0,0.5,0,0.8,1,0.7,1,N
J.Johnson o3.5 Ast,GDAWG5000,-130,0.65,J.Johnson,Atlanta Hawks,Dallas Mavericks,0.0,1.15,0.4999999999999999,0.490566037735849,0,0.8,1,0.7,1,Y
J.Johnson o3.5 Ast,TheBMatt,-130,0.75,J.Johnson,Atlanta Hawks,Dallas Mavericks,0.0,1.3269230769230769,0.5769230769230769,0.490566037735849,0,0.8,1,0.7,1,Y
N.Jokic o12.5 Rebs,JoeDellera,-115,1.15,N.Jokic,Denver Nuggets,Los Angeles Clippers,0.0,2.1499999999999995,0.9999999999999996,0.4794520547945205,0,0.4,0,0.5,0,Y
N.Jokic o12.5 Rebs,GDAWG5000,-115,0.58,N.Jokic,Denver Nuggets,Los Angeles Clippers,0.0,1.0843478260869563,0.5043478260869564,0.4794520547945205,0,0.4,0,0.5,0,Y
N.Jokic o12.5 Rebs,TheBMatt,-115,1.15,N.Jokic,Denver Nuggets,Los Angeles Clippers,0.0,2.1499999999999995,0.9999999999999996,0.4794520547945205,0,0.4,0,0.5,0,Y
R.Westbrook o19.5 Pts+Rebs+Ast,TheBMatt,-104,1.0,R.Westbrook,Los Angeles Clippers,Denver Nuggets,1.0,1.9615384615384617,0.9615384615384616,0.4761904761904761,0,0.6,1,0.3,0,Y
R.Westbrook o18.5 Pts+Rebs+Ast,JoeDellera,-110,1.25,R.Westbrook,Los Angeles Clippers,Denver Nuggets,1.0,2.3863636363636367,1.136363636363637,0.5238095238095238,1,0.6,1,0.3,0,Y
B.Adebayo o0.5 3pt M,TheBMatt,310,0.25,B.Adebayo,Miami Heat,Philadelphia 76ers,1.0,1.025,0.7749999999999999,0.125,0,0.4,0,0.7,1,Y
B.Adebayo o0.5 3pt M,GDAWG5000,310,0.3,B.Adebayo,Miami Heat,Philadelphia 76ers,1.0,1.2299999999999998,0.9299999999999996,0.125,0,0.4,0,0.7,1,Y
D.DiVincenzo o19.5 Pts,the_degenerates,-120,1.2,D.DiVincenzo,New York Knicks,Sacramento Kings,1.0,2.2,1.0000000000000002,0.2702702702702703,0,0.6,1,0.4,0,Y
D.Murray o23.5 Pts,SportsBookBreakers,-115,1.0,D.Murray,Atlanta Hawks,Dallas Mavericks,0.0,1.869565217391304,0.8695652173913042,0.410958904109589,0,0.6,1,0.5,0,N
