,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,P.Washington o19.5 Pts+Rebs+Ast,MikeRandle,-102,1.0,P.Washington,Dallas Mavericks,Los Angeles Clippers,1,1.9803921568627452,0.9803921568627452,0.41935483870967744,0,0.4,0,0.7,1
1,P.Washington o5.5 Rebs,GDAWG5000,-125,0.63,P.Washington,Dallas Mavericks,Los Angeles Clippers,1,1.1340000000000001,0.5040000000000001,0.6129032258064516,1,0.8,1,0.7,1
2,R.Westbrook o3.5 Ast,charliedisturco,+102,0.5,R.Westbrook,Los Angeles Clippers,Dallas Mavericks,0,1.01,0.51,0.5428571428571428,1,0.6,1,0.7,1
3,P.Washington o5.5 Rebs,ChrisRaybon,-125,1.0,P.Washington,Dallas Mavericks,Los Angeles Clippers,1,1.8,0.8,0.6129032258064516,1,0.8,1,0.7,1
4,R.Westbrook o3.5 Ast,The_Oddsmaker,+124,1.0,R.Westbrook,Los Angeles Clippers,Dallas Mavericks,0,2.24,1.2400000000000002,0.5428571428571428,1,0.6,1,0.7,1
5,P.Washington o5.5 Rebs,JoeDellera,-125,0.5,P.Washington,Dallas Mavericks,Los Angeles Clippers,1,0.9,0.4,0.6129032258064516,1,0.8,1,0.7,1
6,L.Doncic o9.5 Rebs,charliedisturco,+100,0.5,L.Doncic,Dallas Mavericks,Los Angeles Clippers,1,1.0,0.5,0.4722222222222222,0,0.4,0,0.6,1
7,D.Gafford o4.5 Rebs,ActionIsland,-102,0.5,D.Gafford,Dallas Mavericks,Los Angeles Clippers,1,0.9901960784313726,0.4901960784313726,0.6774193548387096,1,0.4,0,0.4,0
8,J.Harden u17.5 Pts,ActionIsland,-120,0.5,J.Harden,Los Angeles Clippers,Dallas Mavericks,0,0.9166666666666667,0.41666666666666674,0.581081081081081,1,0.4,0,0.6,1
9,K.Irving o25.5 Pts,ActionIsland,-108,0.5,K.Irving,Dallas Mavericks,Los Angeles Clippers,1,0.962962962962963,0.462962962962963,0.5,0,0.4,0,0.6,1
10,K.Leonard o31.5 Pts+Rebs+Ast,ActionIsland,-104,0.5,K.Leonard,Los Angeles Clippers,Dallas Mavericks,0,0.9807692307692308,0.48076923076923084,0.5652173913043478,1,0.4,0,0.4,0
11,P.Washington o5.5 Rebs,GreenDotDaily,-130,1.0,P.Washington,Dallas Mavericks,Los Angeles Clippers,1,1.7692307692307692,0.7692307692307692,0.6129032258064516,1,0.8,1,0.7,1
12,J.Harden u17.5 Pts,GreenDotDaily,-115,1.0,J.Harden,Los Angeles Clippers,Dallas Mavericks,0,1.8695652173913042,0.8695652173913042,0.581081081081081,1,0.4,0,0.6,1
13,R.Westbrook o15.5 Pts+Rebs+Ast,PropBetGuy,-122,1.22,R.Westbrook,Los Angeles Clippers,Dallas Mavericks,0,2.22,1.0000000000000002,0.7285714285714285,1,0.8,1,0.8,1
14,K.Leonard u25.5 Pts+Ast,PropBetGuy,-115,1.15,K.Leonard,Los Angeles Clippers,Dallas Mavericks,0,2.1499999999999995,0.9999999999999996,0.43478260869565216,0,0.6,1,0.6,1
