,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
6,B.Beal o18.5 Pts+Ast,Rotowire Prizepicks,Phoenix Suns,Utah Jazz,0.0,0.7333333333333333,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,B.Beal
16,B.Beal o18.5 Pts+Ast,Rotowire Sleeper,Phoenix Suns,Utah Jazz,0.0,0.7333333333333333,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,B.Beal
29,N.Powell o22.5 Pts+Ast,Rotowire Prizepicks,Los Angeles Clippers,Denver Nuggets,0.0,0.6666666666666666,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,N.Powell
33,A.Simons o22.5 Pts+Ast,PlayerPropSavant,Portland Trail Blazers,San Antonio Spurs,1.0,0.4761904761904761,0,0.4,0,0.4,0,-125.0,1.25,2.25,1.0,A.Simons
43,P.Siakam o21.5 Pts+Ast,moneylinewixted,Indiana Pacers,Philadelphia 76ers,0.0,0.64,1,0.4,0,0.6,1,-106.0,1.06,2.06,1.0,P.Siakam
51,B.Beal o19.5 Pts+Ast,Rotowire Prizepicks,Phoenix Suns,Utah Jazz,0.0,0.5333333333333333,1,0.4,0,0.5,0,100.0,1.5,3.0,1.5,B.Beal
68,N.Powell o24.5 Pts+Ast,kylemurray03,Los Angeles Clippers,Denver Nuggets,0.0,0.6111111111111112,1,0.4,0,0.5,0,-110.0,1.17,2.2336363636363634,1.0636363636363635,N.Powell
77,K.Oubre o12.5 Pts+Ast,Rotowire Prizepicks,Philadelphia 76ers,Indiana Pacers,1.0,0.6363636363636364,1,1.0,1,0.7,1,100.0,1.5,3.0,1.5,K.Oubre
89,A.Gordon o15.5 Pts+Ast,Rotowire Prizepicks,Denver Nuggets,Los Angeles Clippers,1.0,0.5454545454545454,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,A.Gordon
90,M.Porter o18.5 Pts+Ast,Rotowire Prizepicks,Denver Nuggets,Los Angeles Clippers,1.0,0.6818181818181818,1,0.8,1,0.8,1,100.0,1.5,3.0,1.5,M.Porter
