Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
A.Simons o4.5 Ast,kylemurray03,102,1.0,A.Simons,Portland Trail Blazers,New York Knicks,0,2.02,1.02,0.5,0,0.2,0,0.6,1,N
P.Banchero u41.5 Pts+Rebs+Ast,PropBetGuy,-122,1.22,P.Banchero,Orlando Magic,Minnesota Timberwolves,1,2.22,1.0000000000000002,0.6388888888888888,1,0.0,0,0.3,0,Y
K.Knox u3.5 Rebs,JoeDellera,-125,0.5,K.Knox,Detroit Pistons,Sacramento Kings,1,0.9,0.4,0.8333333333333334,1,1.0,1,1.0,1,Y
K.Knox u3.5 Rebs,SBK5065,-125,1.0,K.Knox,Detroit Pistons,Sacramento Kings,1,1.8,0.8,0.8333333333333334,1,1.0,1,1.0,1,Y
I.Hartenstein o11.5 Rebs,JoeDellera,100,0.75,I.Hartenstein,New York Knicks,Portland Trail Blazers,1,1.5,0.75,0.1388888888888889,0,0.4,0,0.3,0,Y
A.Davis u13.5 Rebs,kylemurray03,-130,1.0,A.Davis,Los Angeles Lakers,Toronto Raptors,1,1.7692307692307692,0.7692307692307692,0.6111111111111112,1,0.6,1,0.7,1,Y
R.Barrett o4.5 Rebs,SBK5065,-140,0.7,R.Barrett,Toronto Raptors,Los Angeles Lakers,0,1.2,0.5,0.75,1,0.75,1,0.75,1,Y
K.Hayes o8.5 Rebs+Ast,cowhitchurch,-125,0.63,K.Hayes,Detroit Pistons,Sacramento Kings,1,1.134,0.5040000000000001,0.3548387096774194,0,0.2,0,0.3,0,Y
K.Hayes o8.5 Rebs+Ast,SBK5065,-125,0.63,K.Hayes,Detroit Pistons,Sacramento Kings,1,1.134,0.5040000000000001,0.3548387096774194,0,0.2,0,0.3,0,Y
K.Irving o11.5 Rebs+Ast,kylemurray03,-105,1.0,K.Irving,Dallas Mavericks,Memphis Grizzlies,1,1.9523809523809523,0.9523809523809524,0.3809523809523809,0,0.8,1,0.4,0,Y
I.Hartenstein o3.5 Stl+Blk,kylemurray03,-120,1.0,I.Hartenstein,New York Knicks,Portland Trail Blazers,1,1.8333333333333333,0.8333333333333335,0.8888888888888888,1,1.0,1,1.0,1,Y
P.Banchero u28.5 Pts,SBK5065,-125,0.63,P.Banchero,Orlando Magic,Minnesota Timberwolves,1,1.134,0.5040000000000001,0.7777777777777778,1,0.4,0,0.5,0,Y
P.Banchero u28.5 Pts,cowhitchurch,-117,1.17,P.Banchero,Orlando Magic,Minnesota Timberwolves,1,2.17,1.0,0.7777777777777778,1,0.4,0,0.5,0,Y
P.Banchero u28.5 Pts,JoeDellera,-120,0.5,P.Banchero,Orlando Magic,Minnesota Timberwolves,1,0.9166666666666669,0.4166666666666667,0.7777777777777778,1,0.4,0,0.5,0,Y
P.Banchero u28.5 Pts,PropBomb,-120,1.2,P.Banchero,Orlando Magic,Minnesota Timberwolves,1,2.2,1.0000000000000002,0.7777777777777778,1,0.4,0,0.5,0,Y
D.Fox o27.5 Pts,the_degenerates,-125,1.25,D.Fox,Sacramento Kings,Detroit Pistons,0,2.25,1.0,0.6206896551724138,1,0.2,0,0.4,0,N
J.Randle o28.5 Pts,GreenDotDaily,-118,1.0,J.Randle,New York Knicks,Portland Trail Blazers,1,1.847457627118644,0.847457627118644,0.25,0,0.6,1,0.4,0,N
