,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,R.Gobert o22.5 Pts+Rebs+Ast,Rotowire Prizepicks,Minnesota Timberwolves,Los Angeles Clippers,0.0,0.6,1,0.8,1,0.7,1,100,1.5,3.0,1.5,R.Gobert,Y,24.0
1,J.Randle o28.5 Pts+Rebs+Ast,Rotowire Prizepicks,Minnesota Timberwolves,Los Angeles Clippers,0.0,0.75,1,0.6,1,0.7,1,100,1.5,3.0,1.5,J.Randle,N,28.0
2,N.Reid o16.5 Pts+Rebs+Ast,Rotowire Sleeper,Minnesota Timberwolves,Los Angeles Clippers,0.0,0.7,1,0.4,0,0.6,1,100,1.5,3.0,1.5,N.Reid,N,9.0
3,C.Cunningham o34.5 Pts+Rebs+Ast,Rotowire Prizepicks,Detroit Pistons,Boston Celtics,0.0,0.7368421052631579,1,0.8,1,0.8,1,100,1.5,3.0,1.5,C.Cunningham,Y,50.0
4,R.Gobert o23.5 Pts+Rebs+Ast,Rotowire Prizepicks,Minnesota Timberwolves,Los Angeles Clippers,0.0,0.45,0,0.4,0,0.4,0,100,1.5,3.0,1.5,R.Gobert,Y,24.0
5,M.Beasley o14.5 Pts+Rebs+Ast,Rotowire Prizepicks,Detroit Pistons,Boston Celtics,0.0,0.782608695652174,1,0.8,1,0.9,1,100,1.5,3.0,1.5,M.Beasley,Y,28.0
6,I.Zubac o26.5 Pts+Rebs+Ast,Rotowire Sleeper,Los Angeles Clippers,Minnesota Timberwolves,1.0,0.7391304347826086,1,0.6,1,0.8,1,100,1.5,3.0,1.5,I.Zubac,N,15.0
7,T.Maxey u36.5 Pts+Rebs+Ast,kylemurray03,Philadelphia 76ers,Orlando Magic,1.0,0.6153846153846154,1,0.6,1,0.6,1,-115,1.15,2.1499999999999995,0.9999999999999996,T.Maxey,Y,26.0
8,D.Schroder o28.5 Pts+Rebs+Ast,Rotowire Prizepicks,Brooklyn Nets,Indiana Pacers,1.0,0.4,0,0.6,1,0.4,0,100,1.5,3.0,1.5,D.Schroder,N,7.0
9,I.Zubac o27.5 Pts+Rebs+Ast,Rotowire Sleeper,Los Angeles Clippers,Minnesota Timberwolves,1.0,0.6521739130434783,1,0.6,1,0.8,1,100,1.5,3.0,1.5,I.Zubac,N,15.0
10,J.Randle o28.5 Pts+Rebs+Ast,Rotowire Sleeper,Minnesota Timberwolves,Los Angeles Clippers,0.0,0.75,1,0.6,1,0.7,1,100,1.5,3.0,1.5,J.Randle,N,28.0
11,J.Randle o29.5 Pts+Rebs+Ast,Rotowire Prizepicks,Minnesota Timberwolves,Los Angeles Clippers,0.0,0.65,1,0.6,1,0.7,1,100,1.5,3.0,1.5,J.Randle,N,28.0
