,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
7,7,J.Randle u25.5 Pts,New York Knicks,PropBetGuy,-120,1.2,2.2,8.460000000000006,J.Randle,Cleveland Cavaliers,1,1.0000000000000002,0.6326530612244898,1,0.8,1,0.7,1
10,10,J.Randle u25.5 Pts,New York Knicks,SBK5065,-120,0.6,1.1,0.0,J.Randle,Cleveland Cavaliers,1,0.5000000000000001,0.6326530612244898,1,0.8,1,0.7,1
16,16,J.Tatum o5.5 Ast,Boston Celtics,PropBomb,-120,1.2,2.2,-24.8423,J.Tatum,Miami Heat,0,1.0000000000000002,0.2608695652173913,0,0.6,1,0.5,0
17,17,S.Dinwiddie o17.5 Pts,Dallas Mavericks,SBK5065,-126,0.63,1.13,2.9946999999999995,S.Dinwiddie,Washington Wizards,1,0.4999999999999999,0.44680851063829785,0,1.0,1,0.7,1
18,18,S.Dinwiddie o2.5 3pt M,Dallas Mavericks,SBK5065,135,0.5,1.175,0.0,S.Dinwiddie,Washington Wizards,1,0.675,0.5531914893617021,1,0.6,1,0.4,0
20,20,S.Dinwiddie o17.5 Pts,Dallas Mavericks,charliedisturco,-130,0.65,1.15,-1.65,S.Dinwiddie,Washington Wizards,1,0.4999999999999999,0.44680851063829785,0,1.0,1,0.7,1
21,21,S.Dinwiddie o18.5 Pts,Dallas Mavericks,JoeMetz,-106,1.06,2.06,-9.86,S.Dinwiddie,Washington Wizards,1,1.0,0.425531914893617,0,1.0,1,0.6,1
22,22,S.Dinwiddie o17.5 Pts,Dallas Mavericks,PropBomb,-130,1.3,2.3,-24.8423,S.Dinwiddie,Washington Wizards,1,0.9999999999999998,0.44680851063829785,0,1.0,1,0.7,1
23,23,C.Johnson o15.5 Pts,Phoenix Suns,SBK5065,-102,0.51,1.01,2.9946999999999995,C.Johnson,Charlotte Hornets,1,0.5,0.4,0,0.6,1,0.4,0
25,25,K.Leonard o26.5 Pts,Los Angeles Clippers,JoeDellera,-115,1.0,1.869565217391304,22.7172,K.Leonard,Los Angeles Lakers,0,0.8695652173913042,0.3333333333333333,0,0.8,1,0.6,1
26,26,K.Leonard o26.5 Pts,Los Angeles Clippers,PropBetGuy,-115,1.15,2.1499999999999995,8.460000000000006,K.Leonard,Los Angeles Lakers,0,0.9999999999999996,0.3333333333333333,0,0.8,1,0.6,1
