Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
P.Banchero u1.5 3pt M,SBK5065,-166,0.9,P.Banchero,Orlando Magic,Indiana Pacers,1.0,1.4421686746987952,0.5421686746987951,0.5645161290322581,1,0.6,1,0.5,0,Y
J.Hart o13.5 Rebs+Ast,JoeDellera,100,1.0,J.Hart,New York Knicks,Philadelphia 76ers,1.0,2.0,1.0,0.3387096774193548,0,0.8,1,0.8,1,N
A.Sengun o4.5 Ast,JoeDellera,102,1.5,A.Sengun,Houston Rockets,Sacramento Kings,0.0,3.03,1.5300000000000002,0.5806451612903226,1,0.4,0,0.4,0,N
A.Sengun o4.5 Ast,GDAWG5000,120,0.5,A.Sengun,Houston Rockets,Sacramento Kings,0.0,1.1,0.6000000000000001,0.5806451612903226,1,0.4,0,0.4,0,N
A.Sengun o4.5 Ast,TheBMatt,120,1.0,A.Sengun,Houston Rockets,Sacramento Kings,0.0,2.2,1.2000000000000002,0.5806451612903226,1,0.4,0,0.4,0,N
J.Poole o4.5 Ast,GDAWG5000,130,0.65,J.Poole,Washington Wizards,Miami Heat,0.0,1.495,0.8449999999999999,0.360655737704918,0,0.6,1,0.6,1,Y
J.Poole o4.5 Ast,TheBMatt,125,1.0,J.Poole,Washington Wizards,Miami Heat,0.0,2.25,1.25,0.360655737704918,0,0.6,1,0.6,1,Y
G.Harris o7.5 Pts,GDAWG5000,-110,0.55,G.Harris,Orlando Magic,Indiana Pacers,1.0,1.05,0.5,0.5,0,0.8,1,0.6,1,N
G.Harris o7.5 Pts,TheBMatt,-110,1.1,G.Harris,Orlando Magic,Indiana Pacers,1.0,2.1,1.0,0.5,0,0.8,1,0.6,1,N
D.Lillard o23.5 Pts,the_degenerates,-110,1.0,D.Lillard,Milwaukee Bucks,Los Angeles Clippers,0.0,1.9090909090909087,0.9090909090909092,0.559322033898305,1,0.4,0,0.4,0,Y
