Play,Expert,Team_x,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value,Team_y
B.Beal o3.5 Ast,Markus_Markets,Phoenix Suns,Dallas Mavericks,1.0,0.4736842105263157,0,0.4,0,0.5,0,-130.0,1.0,1.7692307692307692,0.7692307692307692,B.Beal,Y,4.0,Phoenix Suns
C.Paul o7.5 Ast,MillyProps,San Antonio Spurs,Brooklyn Nets,0.0,0.7,1,0.8,1,0.8,1,-125.0,1.0,1.8,0.8,C.Paul,N,5.0,San Antonio Spurs
N.Claxton u12.5 Rebs+Ast,allanlemdfs,Brooklyn Nets,San Antonio Spurs,1.0,0.8333333333333334,1,1.0,1,0.9,1,-130.0,0.65,1.15,0.4999999999999999,N.Claxton,Y,10.0,Brooklyn Nets
N.Jokic o21.5 Rebs+Ast,Mjaybrxd,Denver Nuggets,Cleveland Cavaliers,1.0,0.6,1,0.4,0,0.5,0,-115.0,1.0,1.869565217391304,0.8695652173913042,N.Jokic,Y,27.0,Denver Nuggets
O.Anunoby o14.5 Pts+Ast,Rotowire Sleeper,New York Knicks,Orlando Magic,0.0,0.7,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,O.Anunoby,N,8.0,New York Knicks
J.Green o19.5 Pts+Ast,Rotowire Sleeper_duplicate,Houston Rockets,Minnesota Timberwolves,1.0,0.3846153846153846,0,0.4,0,0.4,0,100.0,1.5,3.0,1.5,J.Green,Y,20.0,Houston Rockets
J.Allen o20.5 Pts+Rebs,Rotowire Sleeper,Cleveland Cavaliers,Denver Nuggets,0.0,0.6333333333333333,1,0.2,0,0.3,0,100.0,1.5,3.0,1.5,J.Allen,Y,32.0,Cleveland Cavaliers
J.Brunson o25.5 Pts+Rebs,Rotowire Sleeper,New York Knicks,Orlando Magic,0.0,0.5,0,0.6,1,0.4,0,100.0,1.5,3.0,1.5,J.Brunson,Y,29.0,New York Knicks
J.Green o21.5 Pts+Rebs,Rotowire Sleeper_duplicate,Houston Rockets,Minnesota Timberwolves,1.0,0.4358974358974359,0,0.4,0,0.4,0,100.0,1.5,3.0,1.5,J.Green,N,16.0,Houston Rockets
J.Nurkic o8.5 Pts,Rotowire Sleeper,Phoenix Suns,Dallas Mavericks,1.0,0.5454545454545454,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Nurkic,N,3.0,Phoenix Suns
M.Bridges o15.5 Pts,therocketplays_duplicate,New York Knicks,Orlando Magic,0.0,0.6666666666666666,1,0.8,1,0.9,1,-125.0,1.25,2.25,1.0,M.Bridges,Y,17.0,New York Knicks
J.Tatum o28.5 Pts,CeeJPicks,Boston Celtics,Indiana Pacers,1.0,0.5925925925925926,1,0.6,1,0.6,1,-106.0,1.06,2.06,1.0,J.Tatum,N,22.0,Boston Celtics
G.Niang u7.5 Pts,TopShelfAction,Cleveland Cavaliers,Denver Nuggets,0.0,0.4,0,0.2,0,0.3,0,-105.0,0.5,0.9761904761904762,0.4761904761904761,G.Niang,Y,3.0,Cleveland Cavaliers
E.Mobley o29.5 Pts+Rebs+Ast,sandyplashkes,Cleveland Cavaliers,Denver Nuggets,0.0,0.5,0,0.4,0,0.6,1,-116.0,1.16,2.16,0.9999999999999998,E.Mobley,Y,37.0,Cleveland Cavaliers
E.Mobley o29.5 Pts+Rebs+Ast,LinesAtLunch,Cleveland Cavaliers,Denver Nuggets,0.0,0.5,0,0.4,0,0.6,1,-116.0,1.16,2.16,0.9999999999999998,E.Mobley,Y,37.0,Cleveland Cavaliers
J.Allen o22.5 Pts+Rebs+Ast,Rotowire Sleeper,Cleveland Cavaliers,Denver Nuggets,0.0,0.6333333333333333,1,0.4,0,0.4,0,100.0,1.5,3.0,1.5,J.Allen,Y,36.0,Cleveland Cavaliers
E.Mobley o29.5 Pts+Rebs+Ast,Rotowire Sleeper,Cleveland Cavaliers,Denver Nuggets,0.0,0.5,0,0.4,0,0.6,1,100.0,1.5,3.0,1.5,E.Mobley,Y,37.0,Cleveland Cavaliers
D.Schroder u25.5 Pts+Rebs+Ast,TopShelfAction,Golden State Warriors,Los Angeles Clippers,0.0,1.0,1,1.0,1,1.0,1,-115.0,0.6,1.1217391304347826,0.5217391304347826,D.Schroder,Y,13.0,Golden State Warriors
