,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,2,C.Holmgren o16.5 Pts,gneiffer07,-120,1.2,C.Holmgren,Oklahoma City Thunder,Boston Celtics,0,2.2,1.0000000000000002,0.4933333333333333,0,0.4,0,0.5,0,N
1,3,J.Tatum o25.5 Pts,gneiffer07,-120,1.2,J.Tatum,Boston Celtics,Oklahoma City Thunder,1,2.2,1.0000000000000002,0.6,1,0.6,1,0.8,1,N
2,4,T.Watford o10.5 Pts,GDAWG5000,-110,0.52,T.Watford,Brooklyn Nets,Indiana Pacers,1,0.9927272727272728,0.4727272727272728,0.2456140350877192,0,1.0,1,0.6,1,N
3,5,T.Watford o10.5 Pts,JoeDellera,-110,1.0,T.Watford,Brooklyn Nets,Indiana Pacers,1,1.9090909090909087,0.9090909090909092,0.2456140350877192,0,1.0,1,0.6,1,N
4,7,I.Quickley o16.5 Pts,MikeRandle,105,1.0,I.Quickley,Toronto Raptors,Minnesota Timberwolves,0,2.05,1.0499999999999998,0.6060606060606061,1,0.6,1,0.7,1,N
5,12,J.Jackson o21.5 Pts,gneiffer07,-115,1.15,J.Jackson,Memphis Grizzlies,Milwaukee Bucks,0,2.1499999999999995,0.9999999999999996,0.5230769230769231,1,0.4,0,0.4,0,Y
6,0,A.Wiggins o11.5 Pts,TheBMatt,-110,0.55,A.Wiggins,Oklahoma City Thunder,Boston Celtics,0,1.05,0.5,0.1690140845070422,0,0.6,1,0.3,0,N
7,10,T.Watford o10.5 Pts,TheBMatt,-112,1.0,T.Watford,Brooklyn Nets,Indiana Pacers,1,1.8928571428571428,0.8928571428571428,0.2456140350877192,0,1.0,1,0.6,1,N
8,11,T.Watford o10.5 Pts,PropBetGuy,-110,1.1,T.Watford,Brooklyn Nets,Indiana Pacers,1,2.1,1.0,0.2456140350877192,0,1.0,1,0.6,1,N
9,13,J.Suggs o11.5 Pts,PropBetGuy,-110,1.1,J.Suggs,Orlando Magic,New Orleans Pelicans,0,2.1,1.0,0.5,0,0.6,1,0.7,1,N
10,14,J.Valanciunas u10.5 Pts,SBK5065,-120,0.6,J.Valanciunas,New Orleans Pelicans,Orlando Magic,1,1.1,0.5000000000000001,0.4133333333333333,0,0.4,0,0.7,1,N
11,23,J.Nurkic u11.5 Pts,SBK5065,-110,0.55,J.Nurkic,Phoenix Suns,Cleveland Cavaliers,1,1.05,0.5,0.6,1,0.8,1,0.8,1,Y
12,25,D.Ayton u23.5 Pts,gneiffer07,-110,1.1,D.Ayton,Portland Trail Blazers,Charlotte Hornets,0,2.1,1.0,0.8775510204081632,1,0.8,1,0.6,1,N
