Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
R.Westbrook o8.5 Rebs+Ast,PropBetGuy,112,1.0,R.Westbrook,Los Angeles Clippers,Dallas Mavericks,1.0,2.12,1.12,0.5441176470588235,1,0.8,1,0.6,1,N
R.Westbrook o7.5 Rebs+Ast,JoeDellera,102,0.5,R.Westbrook,Los Angeles Clippers,Dallas Mavericks,1.0,1.01,0.51,0.6470588235294118,1,0.8,1,0.7,1,Y
C.Martin o1.5 3pt M,GDAWG5000,145,0.5,C.Martin,Miami Heat,Boston Celtics,0.0,1.225,0.7250000000000001,0.3484848484848485,0,0.4,0,0.2,0,N
C.Martin o1.5 3pt M,TheBMatt,145,0.5,C.Martin,Miami Heat,Boston Celtics,0.0,1.225,0.7250000000000001,0.3484848484848485,0,0.4,0,0.2,0,N
R.Westbrook o18.5 Pts+Rebs+Ast,GDAWG5000,-105,0.53,R.Westbrook,Los Angeles Clippers,Dallas Mavericks,1.0,1.0347619047619048,0.5047619047619047,0.5441176470588235,1,0.8,1,0.7,1,Y
R.Westbrook o18.5 Pts+Rebs+Ast,JoeDellera,-105,0.5,R.Westbrook,Los Angeles Clippers,Dallas Mavericks,1.0,0.9761904761904762,0.4761904761904761,0.5441176470588235,1,0.8,1,0.7,1,Y
J.Valanciunas o22.5 Pts+Rebs+Ast,SportsBookBreakers,102,1.5,J.Valanciunas,New Orleans Pelicans,Oklahoma City Thunder,0.0,3.03,1.5300000000000002,0.5357142857142857,1,0.4,0,0.4,0,Y
P.Beverley o3.5 Ast,GDAWG5000,-105,0.53,P.Beverley,Milwaukee Bucks,Indiana Pacers,1.0,1.0347619047619048,0.5047619047619047,0.3076923076923077,0,0.4,0,0.4,0,Y
P.Beverley o3.5 Ast,The_Oddsmaker,-105,1.05,P.Beverley,Milwaukee Bucks,Indiana Pacers,1.0,2.05,0.9999999999999998,0.3076923076923077,0,0.4,0,0.4,0,Y
D.Lillard u7.5 Ast,SBK5065,-130,1.0,D.Lillard,Milwaukee Bucks,Indiana Pacers,1.0,1.7692307692307692,0.7692307692307692,0.6301369863013698,1,0.8,1,0.7,1,Y
D.Wright u2.5 Ast,SBK5065,-135,0.68,D.Wright,Miami Heat,Boston Celtics,0.0,1.1837037037037037,0.5037037037037037,0.5,0,0.6,1,0.5,0,N
C.Holmgren o24.5 Pts+Rebs,the_degenerates,-104,1.04,C.Holmgren,Oklahoma City Thunder,New Orleans Pelicans,1.0,2.04,1.0,0.4634146341463415,0,0.4,0,0.4,0,Y
J.Valanciunas u20.5 Pts+Rebs,HPBasketball,-106,0.25,J.Valanciunas,New Orleans Pelicans,Oklahoma City Thunder,0.0,0.4858490566037736,0.2358490566037736,0.4761904761904761,0,0.6,1,0.7,1,N
L.Doncic o32.5 Pts,the_degenerates,-114,1.14,L.Doncic,Dallas Mavericks,Los Angeles Clippers,0.0,2.14,0.9999999999999998,0.5857142857142857,1,0.4,0,0.4,0,Y
P.Washington o11.5 Pts,MikeRandle,100,1.0,P.Washington,Dallas Mavericks,Los Angeles Clippers,0.0,2.0,1.0,0.4827586206896552,0,0.6,1,0.7,1,N
J.Alvarado o7.5 Pts,the_degenerates,-105,1.05,J.Alvarado,New Orleans Pelicans,Oklahoma City Thunder,0.0,2.05,0.9999999999999998,0.4655172413793103,0,0.8,1,0.7,1,N
P.Washington o5.5 Rebs,HPBasketball,102,1.0,P.Washington,Dallas Mavericks,Los Angeles Clippers,0.0,2.02,1.02,0.5862068965517241,1,0.6,1,0.7,1,Y
L.Doncic o8.5 Rebs,PropBetGuy,-120,1.44,L.Doncic,Dallas Mavericks,Los Angeles Clippers,0.0,2.64,1.2000000000000002,0.6428571428571429,1,1.0,1,1.0,1,Y
