,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,4,4,4,J.Holiday u5.5 Ast,cowhitchurch,116,0.58,J.Holiday,Denver Nuggets,Golden State Warriors,1,1.2528,0.6728,1.0,1,1.0,1,1.0,1
10,10,10,10,J.Holiday u6.5 Ast,JoeDellera,-150,0.17,J.Holiday,Denver Nuggets,Golden State Warriors,1,0.2833333333333333,0.1133333333333333,1.0,1,1.0,1,1.0,1
11,11,11,11,J.Holiday u6.5 Ast,SBK5065,-145,0.69,J.Holiday,Denver Nuggets,Golden State Warriors,1,1.1658620689655173,0.4758620689655173,1.0,1,1.0,1,1.0,1
24,24,24,27,T.Maledon u4.5 Ast,cowhitchurch,-165,0.5,T.Maledon,Charlotte Hornets,Washington Wizards,1,0.803030303030303,0.303030303030303,1.0,1,1.0,1,1.0,1
26,26,26,29,T.Maledon u4.5 Ast,SBK5065,-155,1.0,T.Maledon,Charlotte Hornets,Washington Wizards,1,1.6451612903225803,0.6451612903225805,1.0,1,1.0,1,1.0,1
36,36,36,40,K.Looney o2.5 Ast,SBK5065,-125,0.5,K.Looney,Golden State Warriors,Denver Nuggets,0,0.9,0.4,0.5,0,0.6,1,0.5,0
38,38,38,42,R.Jackson u4.5 Ast,SBK5065,110,0.75,R.Jackson,Denver Nuggets,Golden State Warriors,1,1.5750000000000002,0.8250000000000002,0.625,1,0.8,1,0.625,1
44,44,44,48,K.Irving o6.5 Ast,Noto,105,1.0,K.Irving,Dallas Mavericks,Toronto Raptors,1,2.05,1.0499999999999998,0.6,1,0.6,1,0.6,1
45,45,45,49,K.Irving o6.5 Ast,cowhitchurch,124,0.5,K.Irving,Dallas Mavericks,Toronto Raptors,1,1.12,0.6200000000000001,0.6,1,0.6,1,0.6,1
46,46,46,50,K.Irving o6.5 Ast,JoeDellera,105,1.0,K.Irving,Dallas Mavericks,Toronto Raptors,1,2.05,1.0499999999999998,0.6,1,0.6,1,0.6,1
49,49,49,54,M.Monk o4.5 Ast,Noto,-133,1.0,M.Monk,Sacramento Kings,Portland Trail Blazers,1,1.7518796992481205,0.7518796992481203,0.5,0,0.4,0,0.5,0
