Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
T.Herro o5.5 Ast,therocketplays,Miami Heat,Utah Jazz,1.0,0.3125,0,0.4,0,0.3,0,-130.0,1.3,2.3,0.9999999999999998,T.Herro
C.Sexton o14.5 Pts,CeeJPicks,Utah Jazz,Miami Heat,0.0,0.78125,1,1.0,1,0.9,1,-135.0,1.35,2.35,1.0,C.Sexton
D.Avdija o14.5 Pts,therocketplays,Portland Trail Blazers,Milwaukee Bucks,0.0,0.4545454545454545,0,1.0,1,0.8,1,-120.0,1.2,2.2,1.0000000000000002,D.Avdija
D.Lillard o22.5 Pts,therocketplays,Milwaukee Bucks,Portland Trail Blazers,1.0,0.68,1,0.8,1,0.8,1,-118.0,1.15,2.1245762711864407,0.9745762711864407,D.Lillard
D.Avdija o18.5 Pts+Ast,Rotowire Sleeper,Portland Trail Blazers,Milwaukee Bucks,0.0,0.3939393939393939,0,1.0,1,0.8,1,100.0,1.5,3.0,1.5,D.Avdija
D.Lillard o26.5 Pts+Rebs,Rotowire Sleeper,Milwaukee Bucks,Portland Trail Blazers,1.0,0.64,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,D.Lillard
D.Lillard o33.5 Pts+Rebs+Ast,Rotowire Sleeper,Milwaukee Bucks,Portland Trail Blazers,1.0,0.68,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,D.Lillard
D.Avdija o14.5 Pts,Rotowire Prizepicks,Portland Trail Blazers,Milwaukee Bucks,0.0,0.4545454545454545,0,1.0,1,0.8,1,100.0,1.5,3.0,1.5,D.Avdija
D.Avdija o18.5 Pts+Ast,Rotowire Prizepicks,Portland Trail Blazers,Milwaukee Bucks,0.0,0.3939393939393939,0,1.0,1,0.8,1,100.0,1.5,3.0,1.5,D.Avdija
J.Duren o17.5 Pts+Rebs,Rotowire Sleeper,Detroit Pistons,Minnesota Timberwolves,1.0,0.5806451612903226,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,J.Duren
S.Sharpe o23.5 Pts+Rebs+Ast,Rotowire Prizepicks,Portland Trail Blazers,Milwaukee Bucks,0.0,0.44,0,0.6,1,0.6,1,100.0,1.5,3.0,1.5,S.Sharpe
K.Towns o38.5 Pts+Rebs,Rotowire Sleeper,New York Knicks,Chicago Bulls,0.0,0.5454545454545454,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,K.Towns
T.Herro o28.5 Pts+Rebs,JoeDellera,Miami Heat,Utah Jazz,1.0,0.5,0,0.6,1,0.5,0,-115.0,1.0,1.869565217391304,0.8695652173913042,T.Herro
