,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
0,J.McDaniels u17.5 Pts+Rebs+Ast,Markus_Markets,Minnesota Timberwolves,New York Knicks,0.0,0.675,1,0.6,1,0.6,1,-120.0,1.0,1.8333333333333333,0.8333333333333335,J.McDaniels
7,Y.Missi u17.5 Pts+Rebs+Ast,Markus_Markets,New Orleans Pelicans,Utah Jazz,1.0,0.4634146341463415,0,0.8,1,0.6,1,-115.0,1.0,1.869565217391304,0.8695652173913042,Y.Missi
15,V.Wembanyama u40.5 Pts+Rebs+Ast,CamIsMoney18,San Antonio Spurs,Memphis Grizzlies,1.0,0.5588235294117647,1,0.6,1,0.4,0,-110.0,1.0,1.9090909090909087,0.9090909090909092,V.Wembanyama
23,S.Gilgeous-Alexander u44.5 Pts+Rebs+Ast,sandyplashkes,Oklahoma City Thunder,Dallas Mavericks,0.0,0.6,1,0.8,1,0.6,1,-116.0,1.16,2.16,0.9999999999999998,S.Gilgeous-Alexander
25,B.Adebayo o28.5 Pts+Rebs+Ast,sandyplashkes,Miami Heat,Denver Nuggets,1.0,0.5789473684210527,1,0.6,1,0.6,1,-125.0,1.25,2.25,1.0,B.Adebayo
33,K.Porzingis o26.5 Pts+Rebs+Ast,Rotowire Sleeper,Boston Celtics,Orlando Magic,1.0,0.7058823529411765,1,1.0,1,0.7,1,100.0,1.5,3.0,1.5,K.Porzingis
45,K.Porzingis o27.5 Pts+Rebs+Ast,Rotowire Prizepicks,Boston Celtics,Orlando Magic,1.0,0.7058823529411765,1,1.0,1,0.7,1,100.0,1.5,3.0,1.5,K.Porzingis
50,C.White o24.5 Pts+Rebs+Ast,gneiffer07,Chicago Bulls,Charlotte Hornets,1.0,0.6052631578947368,1,0.8,1,0.9,1,-120.0,1.2,2.2,1.0000000000000002,C.White
73,C.Williams u13.5 Pts+Rebs+Ast,allanlemdfs,Utah Jazz,New Orleans Pelicans,0.0,0.9166666666666666,1,0.8,1,0.9,1,-125.0,0.63,1.134,0.5040000000000001,C.Williams
75,N.Vucevic o31.5 Pts+Rebs+Ast,Rotowire Prizepicks,Chicago Bulls,Charlotte Hornets,1.0,0.725,1,0.6,1,0.8,1,100.0,1.5,3.0,1.5,N.Vucevic
89,C.Paul o22.5 Pts+Rebs+Ast,Rotowire Prizepicks,San Antonio Spurs,Memphis Grizzlies,1.0,0.5384615384615384,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,C.Paul
96,D.Sharpe o15.5 Pts+Rebs+Ast,Rotowire Sleeper,Brooklyn Nets,Los Angeles Lakers,0.0,0.4210526315789473,0,0.8,1,0.6,1,100.0,1.5,3.0,1.5,D.Sharpe
