,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,0,0,G.Williams o4.5 Rebs,SBK5065,-115,0.58,1.0843478260869563,-3.8426,Boston Celtics,G.Williams,Orlando Magic,1,0.5043478260869564
1,1,1,M.Fultz u12.5 Pts,SBK5065,-110,0.55,1.05,-3.8426,Orlando Magic,M.Fultz,Boston Celtics,0,0.5
2,2,2,P.Banchero u6.5 Rebs,SBK5065,-143,0.72,1.2234965034965033,-3.8426,Orlando Magic,P.Banchero,Boston Celtics,0,0.5034965034965033
3,3,3,J.Randle u26.5 Pts,SBK5065,-110,0.55,1.05,0.0,New York Knicks,J.Randle,Indiana Pacers,0,0.5
4,4,4,T.Haliburton o10.5 Ast,JoeMetz,110,1.0,2.1,-22.21,Indiana Pacers,T.Haliburton,New York Knicks,1,1.1
5,5,5,K.Durant o28.5 Pts,JoeDellera,-114,0.35,0.6570175438596491,0.0,Brooklyn Nets,K.Durant,Detroit Pistons,0,0.3070175438596491
6,6,6,K.Hayes o5.5 Ast,SBK5065,-122,0.61,1.11,-3.8426,Detroit Pistons,K.Hayes,Brooklyn Nets,1,0.5000000000000001
7,7,7,K.Irving o32.5 Pts+Rebs+Ast,SBK5065,-120,0.6,1.1,-3.8426,Brooklyn Nets,K.Irving,Detroit Pistons,0,0.5000000000000001
8,8,8,J.Duren o10.5 Rebs,JoeMetz,-105,1.05,2.05,-22.21,Detroit Pistons,J.Duren,Brooklyn Nets,1,0.9999999999999998
9,9,9,D.DiVincenzo o23.5 Pts+Rebs+Ast,PropBetGuy,-120,1.2,2.2,-17.04,Golden State Warriors,D.DiVincenzo,Toronto Raptors,0,1.0000000000000002
10,10,10,N.Jokic o11.5 Rebs,JoeDellera,-140,1.0,1.7142857142857144,-2.0677,Denver Nuggets,N.Jokic,Charlotte Hornets,1,0.7142857142857144
11,11,11,N.Jokic o14.5 Rebs,JoeDellera,280,0.1,0.38,-2.0677,Denver Nuggets,N.Jokic,Charlotte Hornets,1,0.28
12,12,12,N.Jokic o16.5 Rebs,JoeDellera,650,0.1,0.75,-2.0677,Denver Nuggets,N.Jokic,Charlotte Hornets,1,0.65
13,13,13,N.Jokic o19.5 Rebs,JoeDellera,1650,0.1,1.75,-2.0677,Denver Nuggets,N.Jokic,Charlotte Hornets,1,1.65
14,14,14,L.Ball o3.5 3pt M,JoeMetz,115,1.0,2.15,-22.21,Charlotte Hornets,L.Ball,Denver Nuggets,0,1.15
15,15,15,L.James o14.5 Rebs+Ast,JoeMetz,100,1.0,2.0,0.0,Los Angeles Lakers,L.James,Washington Wizards,1,1.0
